alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.3,3,0.44,5.00,100
0.3,4,0.52,1.50,0
0.3,4,0.52,2.00,0
0.3,4,0.52,2.50,5
0.3,4,0.52,3.00,75
0.3,4,0.52,4.00,100
0.3,4,0.52,5.00,100
0.3,5,0.57,1.50,0
0.3,5,0.57,2.00,0
0.3,5,0.57,2.50,75
0.3,5,0.57,3.00,100
0.3,5,0.57,4.00,100
0.3,5,0.57,5.00,100
0.4,1,0.45,1.50,0
0.4,1,0.45,2.00,0
0.4,1,0.45,2.50,0
0.4,1,0.45,3.00,0
0.4,1,0.45,4.00,0
0.4,1,0.45,5.00,0
0.4,2,0.50,1.50,0
0.4,2,0.50,2.00,0
0.4,2,0.50,2.50,0
0.4,2,0.50,3.00,0
0.4,2,0.50,4.00,0
0.4,2,0.50,5.00,65
0.4,3,0.55,1.50,0
0.4,3,0.55,2.00,0
0.4,3,0.55,2.50,0
0.4,3,0.55,3.00,0
0.4,3,0.55,4.00,60
0.4,3,0.55,5.00,100
0.4,4,0.63,1.50,0
0.4,4,0.63,2.00,0
0.4,4,0.63,2.50,50
0.4,4,0.63,3.00,100
0.4,4,0.63,4.00,100
0.4,4,0.63,5.00,100
0.4,5,0.69,1.50,0
0.4,5,0.69,2.00,0
0.4,5,0.69,2.50,100
0.4,5,0.69,3.00,100
0.4,5,0.69,4.00,100
0.4,5,0.69,5.00,100
0.5,1,0.55,1.50,0
0.5,1,0.55,2.00,0
0.5,1,0.55,2.50,0
0.5,1,0.55,3.00,0
0.5,1,0.55,4.00,0
0.5,1,0.55,5.00,0
0.5,2,0.61,1.50,0
0.5,2,0.61,2.00,0
0.5,2,0.61,2.50,0
0.5,2,0.61,3.00,0
0.5,2,0.61,4.00,0
0.5,2,0.61,5.00,90
0.5,3,0.66,1.50,0
0.5,3,0.66,2.00,0
0.5,3,0.66,2.50,0
0.5,3,0.66,3.00,0
0.5,3,0.66,4.00,90
0.5,3,0.66,5.00,100
0.5,4,0.75,1.50,0
0.5,4,0.75,2.00,0
0.5,4,0.75,2.50,50
0.5,4,0.75,3.00,100
0.5,4,0.75,4.00,100
0.5,4,0.75,5.00,100
0.5,5,0.81,1.50,0
0.5,5,0.81,2.00,5
0.5,5,0.81,2.50,100
0.5,5,0.81,3.00,100
0.5,5,0.81,4.00,100
0.5,5,0.81,5.00,100
0.6,1,0.66,1.50,0
0.6,1,0.66,2.00,0
0.6,1,0.66,2.50,0
0.6,1,0.66,3.00,0
0.6,1,0.66,4.00,0
0.6,1,0.66,5.00,0
0.6,2,0.71,1.50,0
0.6,2,0.71,2.00,0
0.6,2,0.71,2.50,0
0.6,2,0.71,3.00,0
0.6,2,0.71,4.00,0
0.6,2,0.71,5.00,70
0.6,3,0.77,1.50,0
0.6,3,0.77,2.00,0
0.6,3,0.77,2.50,0
0.6,3,0.77,3.00,0
0.6,3,0.77,4.00,95
0.6,3,0.77,5.00,100
0.6,4,0.87,1.50,0
0.6,4,0.87,2.00,0
0.6,4,0.87,2.50,90
0.6,4,0.87,3.00,100
0.6,4,0.87,4.00,100
0.6,4,0.87,5.00,100
0.6,5,0.93,1.50,0
0.6,5,0.93,2.00,25
0.6,5,0.93,2.50,100
0.6,5,0.93,3.00,100
0.6,5,0.93,4.00,100
0.6,5,0.93,5.00,100
0.7,1,0.76,1.50,0
0.7,1,0.76,2.00,0
0.7,1,0.76,2.50,0
0.7,1,0.76,3.00,0
0.7,1,0.76,4.00,0
0.7,1,0.76,5.00,0
0.7,2,0.82,1.50,0
0.7,2,0.82,2.00,0
0.7,2,0.82,2.50,0
0.7,2,0.82,3.00,0
0.7,2,0.82,4.00,0
0.7,2,0.82,5.00,80
0.7,3,0.88,1.50,0
0.7,3,0.88,2.00,0
0.7,3,0.88,2.50,0
0.7,3,0.88,3.00,0
0.7,3,0.88,4.00,85
0.7,3,0.88,5.00,100
0.7,4,0.98,1.50,0
0.7,4,0.98,2.00,20
0.7,4,0.98,2.50,100
0.7,4,0.98,3.00,100
0.7,4,0.98,4.00,100
0.7,4,0.98,5.00,100
0.7,5,1.05,1.50,0
0.7,5,1.05,2.00,85
0.7,5,1.05,2.50,100
0.7,5,1.05,3.00,100
0.7,5,1.05,4.00,100
0.7,5,1.05,5.00,100
