alpha,coverage (for count-based),coverage (for majority-based)
0.01,5.25,5.81
0.02,4.50,4.95
0.03,4.07,4.47
0.04,3.78,4.13
0.05,3.56,3.88
0.06,3.39,3.68
0.07,3.24,3.51
0.08,3.12,3.37
0.09,3.02,3.25
0.10,2.93,3.15
0.11,2.84,3.05
0.12,2.77,2.97
0.13,2.71,2.89
0.14,2.65,2.83
0.15,2.59,2.76
0.16,2.54,2.71
0.17,2.49,2.65
0.18,2.45,2.60
0.19,2.41,2.56
0.20,2.37,2.52
0.21,2.34,2.48
0.22,2.31,2.44
0.23,2.28,2.40
0.24,2.25,2.37
0.25,2.22,2.34
0.26,2.19,2.31
0.27,2.17,2.28
0.28,2.14,2.25
0.29,2.12,2.23
0.30,2.10,2.20
0.31,2.08,2.18
0.32,2.06,2.16
0.33,2.04,2.14
0.34,2.02,2.12
0.35,2.01,2.10
0.36,1.99,2.08
0.37,1.97,2.06
0.38,1.96,2.04
0.39,1.94,2.03
0.40,1.93,2.01
0.41,1.91,2.00
0.42,1.90,1.98
0.43,1.89,1.97
0.44,1.88,1.95
0.45,1.86,1.94
0.46,1.85,1.93
0.47,1.84,1.91
0.48,1.83,1.90
0.49,1.82,1.89
0.50,1.81,1.88
0.51,1.80,1.87
0.52,1.79,1.86
0.53,1.78,1.85
0.54,1.77,1.84
0.55,1.76,1.83
0.56,1.75,1.82
0.57,1.75,1.81
0.58,1.74,1.80
0.59,1.73,1.79
0.60,1.72,1.78
0.61,1.71,1.77
0.62,1.71,1.76
0.63,1.70,1.76
0.64,1.69,1.75
0.65,1.69,1.74
0.66,1.68,1.73
0.67,1.67,1.73
0.68,1.67,1.72
0.69,1.66,1.71
0.70,1.65,1.70
0.71,1.65,1.70
0.72,1.64,1.69
0.73,1.64,1.69
0.74,1.63,1.68
0.75,1.62,1.67
0.76,1.62,1.67
0.77,1.61,1.66
0.78,1.61,1.66
0.79,1.60,1.65
0.80,1.60,1.64
0.81,1.59,1.64
0.82,1.59,1.63
0.83,1.58,1.63
0.84,1.58,1.62
0.85,1.58,1.62
0.86,1.57,1.61
0.87,1.57,1.61
0.88,1.56,1.60
0.89,1.56,1.60
0.90,1.55,1.60
0.91,1.55,1.59
0.92,1.55,1.59
0.93,1.54,1.58
0.94,1.54,1.58
0.95,1.54,1.57
0.96,1.53,1.57
0.97,1.53,1.57
0.98,1.52,1.56
0.99,1.52,1.56
1.00,1.52,1.55
