alpha,coverage (for count-based),coverage (for majority-based)
0.01,4.98,5.33
0.02,4.27,4.55
0.03,3.87,4.10
0.04,3.60,3.80
0.05,3.39,3.57
0.06,3.23,3.39
0.07,3.09,3.24
0.08,2.98,3.12
0.09,2.88,3.01
0.10,2.79,2.91
0.11,2.72,2.83
0.12,2.65,2.75
0.13,2.58,2.69
0.14,2.53,2.63
0.15,2.48,2.57
0.16,2.43,2.52
0.17,2.38,2.47
0.18,2.34,2.43
0.19,2.31,2.38
0.20,2.27,2.35
0.21,2.24,2.31
0.22,2.21,2.28
0.23,2.18,2.25
0.24,2.15,2.22
0.25,2.12,2.19
0.26,2.10,2.16
0.27,2.07,2.13
0.28,2.05,2.11
0.29,2.03,2.09
0.30,2.01,2.07
0.31,1.99,2.04
0.32,1.97,2.02
0.33,1.95,2.01
0.34,1.94,1.99
0.35,1.92,1.97
0.36,1.90,1.95
0.37,1.89,1.94
0.38,1.88,1.92
0.39,1.86,1.91
0.40,1.85,1.89
0.41,1.83,1.88
0.42,1.82,1.86
0.43,1.81,1.85
0.44,1.80,1.84
0.45,1.79,1.83
0.46,1.78,1.81
0.47,1.77,1.80
0.48,1.75,1.79
0.49,1.74,1.78
0.50,1.73,1.77
0.51,1.73,1.76
0.52,1.72,1.75
0.53,1.71,1.74
0.54,1.70,1.73
0.55,1.69,1.72
0.56,1.68,1.72
0.57,1.67,1.71
0.58,1.67,1.70
0.59,1.66,1.69
0.60,1.65,1.68
0.61,1.64,1.67
0.62,1.64,1.67
0.63,1.63,1.66
0.64,1.62,1.65
0.65,1.62,1.65
0.66,1.61,1.64
0.67,1.60,1.63
0.68,1.60,1.63
0.69,1.59,1.62
0.70,1.59,1.61
0.71,1.58,1.61
0.72,1.58,1.60
0.73,1.57,1.60
0.74,1.56,1.59
0.75,1.56,1.58
0.76,1.55,1.58
0.77,1.55,1.57
0.78,1.54,1.57
0.79,1.54,1.56
0.80,1.53,1.56
0.81,1.53,1.55
0.82,1.53,1.55
0.83,1.52,1.54
0.84,1.52,1.54
0.85,1.51,1.54
0.86,1.51,1.53
0.87,1.50,1.53
0.88,1.50,1.52
0.89,1.50,1.52
0.90,1.49,1.51
0.91,1.49,1.51
0.92,1.48,1.51
0.93,1.48,1.50
0.94,1.48,1.50
0.95,1.47,1.49
0.96,1.47,1.49
0.97,1.47,1.49
0.98,1.46,1.48
0.99,1.46,1.48
1.00,1.46,1.48
