alpha,coverage (for count-based),coverage (for majority-based)
0.10,2.93,3.15
0.20,2.37,2.52
0.30,2.10,2.20
0.40,1.93,2.01
0.50,1.81,1.88
0.60,1.72,1.78
0.70,1.65,1.70
0.80,1.60,1.64
0.90,1.55,1.60
1.00,1.52,1.55
1.10,1.49,1.52
1.20,1.46,1.49
1.30,1.43,1.46
1.40,1.41,1.44
1.50,1.40,1.42
1.60,1.38,1.40
1.70,1.36,1.39
1.80,1.35,1.37
1.90,1.34,1.36
2.00,1.33,1.35
2.10,1.32,1.34
2.20,1.31,1.33
2.30,1.30,1.32
2.40,1.29,1.31
2.50,1.29,1.30
2.60,1.28,1.29
2.70,1.27,1.29
2.80,1.27,1.28
2.90,1.26,1.27
3.00,1.26,1.27
