alpha,coverage (for count-based),coverage (for majority-based)
0.01,5.75,6.60
0.02,4.92,5.64
0.03,4.45,5.09
0.04,4.13,4.71
0.05,3.88,4.42
0.06,3.69,4.19
0.07,3.53,4.00
0.08,3.40,3.84
0.09,3.28,3.70
0.10,3.18,3.58
0.11,3.09,3.47
0.12,3.01,3.37
0.13,2.94,3.28
0.14,2.87,3.20
0.15,2.81,3.13
0.16,2.76,3.06
0.17,2.70,3.00
0.18,2.66,2.95
0.19,2.61,2.89
0.20,2.57,2.84
0.21,2.53,2.79
0.22,2.50,2.75
0.23,2.46,2.71
0.24,2.43,2.67
0.25,2.40,2.63
0.26,2.37,2.60
0.27,2.34,2.56
0.28,2.32,2.53
0.29,2.29,2.50
0.30,2.27,2.47
0.31,2.25,2.45
0.32,2.23,2.42
0.33,2.21,2.40
0.34,2.19,2.37
0.35,2.17,2.35
0.36,2.15,2.33
0.37,2.13,2.31
0.38,2.11,2.29
0.39,2.10,2.27
0.40,2.08,2.25
0.41,2.07,2.23
0.42,2.05,2.21
0.43,2.04,2.19
0.44,2.03,2.18
0.45,2.01,2.16
0.46,2.00,2.15
0.47,1.99,2.13
0.48,1.98,2.12
0.49,1.96,2.10
0.50,1.95,2.09
0.51,1.94,2.08
0.52,1.93,2.06
0.53,1.92,2.05
0.54,1.91,2.04
0.55,1.90,2.03
0.56,1.89,2.02
0.57,1.88,2.01
0.58,1.87,1.99
0.59,1.86,1.98
0.60,1.86,1.97
0.61,1.85,1.96
0.62,1.84,1.95
0.63,1.83,1.94
0.64,1.82,1.94
0.65,1.82,1.93
0.66,1.81,1.92
0.67,1.80,1.91
0.68,1.80,1.90
0.69,1.79,1.89
0.70,1.78,1.88
0.71,1.78,1.88
0.72,1.77,1.87
0.73,1.76,1.86
0.74,1.76,1.85
0.75,1.75,1.85
0.76,1.74,1.84
0.77,1.74,1.83
0.78,1.73,1.83
0.79,1.73,1.82
0.80,1.72,1.81
0.81,1.72,1.81
0.82,1.71,1.80
0.83,1.71,1.79
0.84,1.70,1.79
0.85,1.70,1.78
0.86,1.69,1.78
0.87,1.69,1.77
0.88,1.68,1.77
0.89,1.68,1.76
0.90,1.67,1.76
0.91,1.67,1.75
0.92,1.66,1.75
0.93,1.66,1.74
0.94,1.66,1.73
0.95,1.65,1.73
0.96,1.65,1.73
0.97,1.64,1.72
0.98,1.64,1.72
0.99,1.64,1.71
1.00,1.63,1.71
